locId,locName,countryCode,subnational1Code,lat,lng,latestObsDt,numSpeciesAllTime
L8679831,Kouklia Soakaways,CY,CY-05,34.7164507,32.5731992,2023-01-31 10:45,100
L3510056,Kourion Stadium,CY,CY-02,34.6706604,32.8764582,2022-11-04 16:54,78
L8429618,Kouris Dam (Φράγμα Κούρη),CY,CY-02,34.7458217,32.9233366,2022-07-23 06:00,64
L8780388,Kritou Tera /  Κρίτου Τέρα,CY,CY-05,34.9563388,32.420661,2022-03-21 12:00,31
L8700686,Kukla Wetlands NR and Reservoir,CY,CY-04,35.1241586,33.7594844,2023-01-03 12:40,156
L8386450,Kykkos Monastery (Μοναστήρι Κύκκου),CY,CY-01,34.9827897,32.7413146,2022-03-25 13:10,48
L8677687,Lady's Mile,CY,CY-02,34.6404306,33.0076949,2023-02-12 08:40,157
L3514727,Lady's Mile Beach,CY,CY-02,34.6180298,33.0051046,2022-12-09 12:46,134
L5649304,Lara Beach (Παραλία Λάρας),CY,CY-05,34.9565884,32.3110485,2023-01-04 14:00,76
L8824448,Larnaca (Λάρνακα) Airport Pools--North,CY,CY-03,34.879726,33.6206396,2023-03-01 12:00,108
L8678037,Larnaca (Λάρνακα) Airport Pools--South,CY,CY-03,34.8481934,33.620108,2023-02-28 09:40,112
L8683890,Larnaca (Λάρνακα) Desalination Fields,CY,CY-03,34.8685278,33.6314522,2023-02-28 00:00,91
L18607857,Larnaca (Λάρνακα) Sea Wall,CY,CY-03,34.901289,33.637959,2023-03-05 12:00,23
L6194500,Larnaca (Λάρνακα) Sewage Works,CY,CY-03,34.8607216,33.6264467,2023-03-08 08:55,207
L5613988,Larnaca Salt Lake (Αλυκή Λάρνακας)--Kamares Viaduct,CY,CY-03,34.9093641,33.6116946,2023-02-09 13:15,109
L1323235,Larnaca Salt Lake / Αλυκή Λάρνακας,CY,CY-03,34.8948509,33.621769,2023-03-05 10:00,178
L19513934,Larnaca Salt Lake / Αλυκή Λάρνακας--Northwest Arm,CY,CY-03,34.90531,33.602535,2022-12-28 08:42,27
L5654015,Latchi (Λατσί) Harbour,CY,CY-05,35.0410734,32.394484,2022-09-29 13:50,55
L21542665,Limnara Valley / Κοιλάδα Λιμνάρα,CY,CY-04,34.9729385,34.0432955,2022-12-23 15:00,50
L19342093,Limni Mangli / Λίμνη Μαγκλή,CY,CY-01,35.127412,33.309818,2023-02-12 12:57,20
L6363705,Livadi tou Pashia,CY,CY-01,34.933934,32.8985167,2023-02-20 08:50,57
L6771056,Livadia (Λιβάδια)--Drainage Channel,CY,CY-03,34.9503614,33.6362193,2018-01-23 14:45,3
L8678075,Livera Spring,CY,CY-06,35.388798,32.9465069,2022-05-01 10:52,33
L8677975,Lower Ezousas,CY,CY-05,34.7355944,32.47069,2023-01-06 09:35,121
L8697344,Lower Ezousas (Έζουσας) Pools (Historical to 2015),CY,CY-05,34.7328964,32.4629991,2022-07-18 19:45,146
L6194354,Lower Xeros Potomas (Ξεροπόταμος) River and Reedbed,CY,CY-05,34.7081394,32.5460315,2022-05-19 09:45,145
L13397049,Mandria (Μανδριά),CY,CY-05,34.7069904,32.5344155,2022-10-24 02:00,117
L8677673,Mandria (Μανδριά)--Coast,CY,CY-05,34.6981544,32.5320111,2023-02-27 08:00,221
L19219012,Marathasa River Nature Trail,CY,CY-01,34.989671,32.829323,2022-12-14 16:45,22
L11301690,Marathounta (lower),CY,CY-05,34.7739446,32.5002683,2023-02-21 08:30,65
L8677154,Marathounta (Μαραθούντα) Hills,CY,CY-05,34.7763631,32.4995333,2023-01-29 08:45,110
L7279278,Masari,CY,CY-01,35.1805433,33.073225,2019-05-23 00:00,6
L8372937,Mathiatis (Μαθιάτης),CY,CY-01,34.9643606,33.3357281,1993-03-23 00:00,10
L2951454,Mavrokolympos Dam,CY,CY-05,34.8563374,32.405709,2022-12-31 15:14,140
L6194493,Meneou (Μενεού) Pools,CY,CY-03,34.8509316,33.6158037,2023-02-28 09:10,113
L5614085,Meneou (Μενεού) Pools--West Pool,CY,CY-03,34.8446273,33.6143875,2022-07-26 11:40,63
L5672170,Meneou (Μενεού) Trailer Park,CY,CY-03,34.859103,33.631057,2022-04-12 15:20,42
