British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Semipalmated Plover,,Charadrius semipalmatus,A,†,,,1300
Little Ringed Plover,,Charadrius dubius,A,,,,1310
Killdeer,,Charadrius vociferus,A,†,,,1320
Kentish Plover,,Charadrius alexandrinus,A,†,,,1330
Greater Sand Plover,,Charadrius leschenaultii,A,†,,,1350
Siberian Sand Plover,,Charadrius mongolus,A,†,,,1352
Tibetan Sand Plover,,Charadrius atrifrons,A,†,,,1354
Caspian Plover,,Charadrius asiaticus,A,†,,,1360
Dotterel,Eurasian Dotterel,Charadrius morinellus,A,,,,1370
Upland Sandpiper,,Bartramia longicauda,A,†,,,1380
Whimbrel,Eurasian Whimbrel,Numenius phaeopus,AF,,,,1390
Hudsonian Whimbrel,,Numenius hudsonicus,A,†,,,1400
Little Whimbrel,Little Curlew,Numenius minutus,A,†,,,1410
Eskimo Curlew,,Numenius borealis,B,†,,,1420
Curlew,Eurasian Curlew,Numenius arquata,AF,,,,1430
Bar-tailed Godwit,,Limosa lapponica,AF,,,,1440
Black-tailed Godwit,,Limosa limosa,AF,,,,1450
Hudsonian Godwit,,Limosa haemastica,A,†,,,1460
Turnstone,Ruddy Turnstone,Arenaria interpres,AF,,,,1470
Great Knot,,Calidris tenuirostris,A,†,,,1480
Knot,Red Knot,Calidris canutus,AF,,,,1490
Ruff,,Calidris pugnax,AF,,,,1500
Broad-billed Sandpiper,,Calidris falcinellus,A,†,,,1510
Sharp-tailed Sandpiper,,Calidris acuminata,A,†,,,1520
Stilt Sandpiper,,Calidris himantopus,A,†,,,1530
Curlew Sandpiper,,Calidris ferruginea,A,,,,1540
Temminck's Stint,,Calidris temminckii,A,,,,1550
Long-toed Stint,,Calidris subminuta,A,†,,,1560
Red-necked Stint,,Calidris ruficollis,A,†,,,1570
Sanderling,,Calidris alba,AF,,,,1580
