British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Pallas's Grasshopper Warbler,,Helopsaltes certhiola,A,†,,,23075
Lanceolated Warbler,,Locustella lanceolata,A,†,,,23084
River Warbler,,Locustella fluviatilis,A,†,,,23090
Savi's Warbler,,Locustella luscinioides,A,†,,,23091
Grasshopper Warbler,Common Grasshopper Warbler,Locustella naevia,A,‡,,,23099
Fan-tailed Warbler,Zitting Cisticola,Cisticola juncidis,A,†,,,23453
Blackcap,Eurasian Blackcap,Sylvia atricapilla,A,,,,23940
Garden Warbler,,Sylvia borin,A,,,,23946
Barred Warbler,,Curruca nisoria,A,,,,23961
Lesser Whitethroat,,Curruca curruca,A,‡,,,23981
Western Orphean Warbler,,Curruca hortensis,A,†,,,23998
Eastern Orphean Warbler,,Curruca crassirostris,A,†,,,24001
Asian Desert Warbler,,Curruca nana,A,†,,,24006
Rüppell's Warbler,,Curruca ruppeli,A,†,,,24014
Sardinian Warbler,,Curruca melanocephala,A,†,,,24016
Western Subalpine Warbler,,Curruca iberiae,A,†,,,24022
Moltoni's Subalpine Warbler,Moltoni's Warbler,Curruca subalpina,A,†,,,24023
Eastern Subalpine Warbler,,Curruca cantillans,A,†,,,24024
Whitethroat,Common Whitethroat,Curruca communis,A,,,,24027
Spectacled Warbler,,Curruca conspicillata,A,†,,,24032
Marmora's Warbler,,Curruca sarda,A,†,,,24035
Dartford Warbler,,Curruca undata,A,,,,24036
Ruby-crowned Kinglet,,Corthylio calendula,A,†,,,25505
Firecrest,Common Firecrest,Regulus ignicapilla,A,,,,25510
Goldcrest,,Regulus regulus,A,,,,25523
Wren,Eurasian Wren,Troglodytes troglodytes,A,,,,25845
Red-breasted Nuthatch,,Sitta canadensis,A,†,,,26167
Nuthatch,Eurasian Nuthatch,Sitta europaea,A,,,,26185
Wallcreeper,,Tichodroma muraria,A,†,,,26224
Treecreeper,Eurasian Treecreeper,Certhia familiaris,A,‡,,,26230
Short-toed Treecreeper,,Certhia brachydactyla,A,†,,,26259
Grey Catbird,,Dumetella carolinensis,A,†,,,26290
Northern Mockingbird,,Mimus polyglottos,AE,†,,,26294
Brown Thrasher,,Toxostoma rufum,A,†,,,26339
Rose-coloured Starling,Rosy Starling,Pastor roseus,AE,,,,26588
Starling,Common Starling,Sturnus vulgaris,A,,,,26590
Varied Thrush,,Ixoreus naevius,A,†,,,26806
Wood Thrush,,Hylocichla mustelina,A,†,,,26825
Swainson's Thrush,,Catharus ustulatus,A,†,,,26859
Hermit Thrush,,Catharus guttatus,A,†,,,26870
Grey-cheeked Thrush,,Catharus minimus,A,†,,,26893
Veery,,Catharus fuscescens,A,†,,,26897
White's Thrush,,Zoothera aurea,A,†,,,26914
Siberian Thrush,,Geokichla sibirica,AE,†,,,26941
Song Thrush,,Turdus philomelos,A,,,,27008
