British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Caspian Plover,,Charadrius asiaticus,A,†,,,5764
Dotterel,Eurasian Dotterel,Charadrius morinellus,A,,,,5766
Upland Sandpiper,,Bartramia longicauda,A,†,,,5838
Whimbrel,Eurasian Whimbrel,Numenius phaeopus,A,,,,5841
Hudsonian Whimbrel,,Numenius hudsonicus,A,†,,,5847
Little Whimbrel,Little Curlew,Numenius minutus,A,†,,,5850
Eskimo Curlew,,Numenius borealis,B,†,,,5851
Curlew,Eurasian Curlew,Numenius arquata,A,,,,5855
Bar-tailed Godwit,,Limosa lapponica,A,,,,5860
Black-tailed Godwit,,Limosa limosa,A,,,,5865
Hudsonian Godwit,,Limosa haemastica,A,†,,,5870
Turnstone,Ruddy Turnstone,Arenaria interpres,A,,,,5875
Great Knot,,Calidris tenuirostris,A,†,,,5885
Knot,Red Knot,Calidris canutus,A,,,,5886
Ruff,,Calidris pugnax,A,,,,5894
Broad-billed Sandpiper,,Calidris falcinellus,A,†,,,5895
Sharp-tailed Sandpiper,,Calidris acuminata,A,†,,,5898
Stilt Sandpiper,,Calidris himantopus,A,†,,,5899
Curlew Sandpiper,,Calidris ferruginea,A,,,,5900
Temminck's Stint,,Calidris temminckii,A,,,,5901
Long-toed Stint,,Calidris subminuta,A,†,,,5902
Red-necked Stint,,Calidris ruficollis,A,†,,,5904
Sanderling,,Calidris alba,A,,,,5905
Dunlin,,Calidris alpina,A,,,,5908
Purple Sandpiper,,Calidris maritima,A,,,,5924
Baird's Sandpiper,,Calidris bairdii,A,†,,,5925
Little Stint,,Calidris minuta,A,,,,5926
Least Sandpiper,,Calidris minutilla,A,†,,,5927
White-rumped Sandpiper,,Calidris fuscicollis,A,,,,5928
Buff-breasted Sandpiper,,Calidris subruficollis,A,,,,5929
Pectoral Sandpiper,,Calidris melanotos,A,,,,5930
Semipalmated Sandpiper,,Calidris pusilla,A,†,,,5931
Western Sandpiper,,Calidris mauri,A,†,,,5932
Long-billed Dowitcher,,Limnodromus scolopaceus,A,†,,,5935
Short-billed Dowitcher,,Limnodromus griseus,A,†,,,5936
Woodcock,Eurasian Woodcock,Scolopax rusticola,A,,,,5941
Jack Snipe,,Lymnocryptes minimus,A,,,,5961
Great Snipe,,Gallinago media,A,†,,,5975
Snipe,Common Snipe,Gallinago gallinago,A,,,,5976
Wilson's Snipe,,Gallinago delicata,A,†,,,5979
Terek Sandpiper,,Xenus cinereus,A,†,,,5993
Wilson's Phalarope,,Phalaropus tricolor,A,†,,,5995
Red-necked Phalarope,,Phalaropus lobatus,A,,,,5996
Grey Phalarope,Red Phalarope,Phalaropus fulicarius,A,,,,5997
Common Sandpiper,,Actitis hypoleucos,A,,,,5999
Spotted Sandpiper,,Actitis macularius,A,†,,,6000
Green Sandpiper,,Tringa ochropus,A,,,,6002
Solitary Sandpiper,,Tringa solitaria,A,†,,,6003
Grey-tailed Tattler,,Tringa brevipes,A,†,,,6007
Lesser Yellowlegs,,Tringa flavipes,A,,,,6008
Redshank,Common Redshank,Tringa totanus,A,,,,6012
Marsh Sandpiper,,Tringa stagnatilis,A,†,,,6019
Wood Sandpiper,,Tringa glareola,A,,,,6020
Spotted Redshank,,Tringa erythropus,A,,,,6021
Greenshank,Common Greenshank,Tringa nebularia,A,,,,6022
Greater Yellowlegs,,Tringa melanoleuca,A,†,,,6024
Cream-coloured Courser,Cream-colored Courser,Cursorius cursor,A,†,,,6032
Collared Pratincole,,Glareola pratincola,A,†,,,6066
Oriental Pratincole,,Glareola maldivarum,A,†,,,6069
Black-winged Pratincole,,Glareola nordmanni,A,†,,,6070
Kittiwake,Black-legged Kittiwake,Rissa tridactyla,A,,,,6122
Ivory Gull,,Pagophila eburnea,A,†,,,6127
Sabine's Gull,,Xema sabini,A,,,,6129
Slender-billed Gull,,Chroicocephalus genei,A,†,,,6131
Bonaparte's Gull,,Chroicocephalus philadelphia,A,†,,,6132
Black-headed Gull,,Chroicocephalus ridibundus,A,,,,6141
Little Gull,,Hydrocoloeus minutus,A,,,,6148
Ross's Gull,,Rhodostethia rosea,A,†,,,6150
Laughing Gull,,Leucophaeus atricilla,A,†,,,6154
Franklin's Gull,,Leucophaeus pipixcan,A,†,,,6157
Audouin's Gull,,Ichthyaetus audouinii,A,†,,,6161
Mediterranean Gull,,Ichthyaetus melanocephalus,A,,,,6162
Great Black-headed Gull,Pallas's Gull,Ichthyaetus ichthyaetus,B,†,,,6163
Common Gull,,Larus canus,A,,,,6174
Ring-billed Gull,,Larus delawarensis,A,,,,6179
Great Black-backed Gull,,Larus marinus,A,,,,6183
Glaucous-winged Gull,,Larus glaucescens,A,†,,,6190
Glaucous Gull,,Larus hyperboreus,A,,,,6195
Iceland Gull,,Larus glaucoides,A,‡,,,6200
Herring Gull,European Herring Gull,Larus argentatus,A,,,,6204
American Herring Gull,,Larus smithsonianus,A,†,,,6207
Caspian Gull,,Larus cachinnans,A,,,,6211
Yellow-legged Gull,,Larus michahellis,A,‡,,,6212
Slaty-backed Gull,,Larus schistisagus,A,†,,,6216
Lesser Black-backed Gull,,Larus fuscus,A,‡,,,6217
Gull-billed Tern,,Gelochelidon nilotica,A,†,,,6224
Caspian Tern,,Hydroprogne caspia,A,†,,,6232
Royal Tern,,Thalasseus maximus,A,†,,,6234
Lesser Crested Tern,,Thalasseus bengalensis,A,†,,,6240
Sandwich Tern,,Thalasseus sandvicensis,A,,,,6246
Cabot's Tern,,Thalasseus acuflavidus,A,†,,,6247
Elegant Tern,,Thalasseus elegans,A,†,,,6250
Little Tern,,Sternula albifrons,A,,,,6252
Least Tern,,Sternula antillarum,A,†,,,6257
Aleutian Tern,,Onychoprion aleuticus,A,†,,,6269
Bridled Tern,,Onychoprion anaethetus,A,†,,,6271
Sooty Tern,,Onychoprion fuscatus,A,†,,,6276
Roseate Tern,,Sterna dougallii,A,,,,6285
Common Tern,,Sterna hirundo,A,,,,6296
Arctic Tern,,Sterna paradisaea,A,,,,6302
Forster's Tern,,Sterna forsteri,A,†,,,6313
Whiskered Tern,,Chlidonias hybrida,A,,,,6318
White-winged Black Tern,White-winged Tern,Chlidonias leucopterus,A,,,,6322
Black Tern,,Chlidonias niger,A,‡,,,6323
South Polar Skua,,Stercorarius maccormicki,A,†,,,6337
Great Skua,,Stercorarius skua,A,,,,6339
Pomarine Skua,Pomarine Jaeger,Stercorarius pomarinus,A,,,,6340
Arctic Skua,Parasitic Jaeger,Stercorarius parasiticus,A,,,,6341
Long-tailed Skua,Long-tailed Jaeger,Stercorarius longicaudus,A,,,,6342
Little Auk,,Alle alle,A,‡,,,6348
Brünnich's Guillemot,Thick-billed Murre,Uria lomvia,A,†,,,6352
Common Guillemot,Common Murre,Uria aalge,A,,,,6357
Razorbill,,Alca torda,A,,,,6364
Great Auk,,Pinguinus impennis,B,Extinct,,,6368
Black Guillemot,,Cepphus grylle,A,‡,,,6370
Long-billed Murrelet,,Brachyramphus perdix,A,†,,,6385
Ancient Murrelet,,Synthliboramphus antiquus,A,†,,,6391
Puffin,Atlantic Puffin,Fratercula arctica,A,,,,6407
Tufted Puffin,,Fratercula cirrhata,A,†,,,6409
Red-billed Tropicbird,,Phaethon aethereus,AE,†,,,6426
Red-throated Diver,Red-throated Loon,Gavia stellata,A,,,,6446
Black-throated Diver,Black-throated Loon,Gavia arctica,A,,,,6447
Pacific Diver,Pacific Loon,Gavia pacifica,A,†,,,6450
Great Northern Diver,Common Loon,Gavia immer,A,,,,6451
White-billed Diver,Yellow-billed Loon,Gavia adamsii,A,,,,6452
Wilson's Petrel,Wilson's Storm Petrel,Oceanites oceanicus,A,,,,6496
White-faced Storm Petrel,,Pelagodroma marina,B,†,,,6507
Black-browed Albatross,,Thalassarche melanophris,A,†,,,6546
Atlantic Yellow-nosed Albatross,,Thalassarche chlororhynchos,A,†,,,6554
Storm Petrel,European Storm Petrel,Hydrobates pelagicus,A,,,,6562
Swinhoe's Petrel,Swinhoe's Storm Petrel,Hydrobates monorhis,A,†,,,6569
Leach's Petrel,Leach's Storm Petrel,Hydrobates leucorhous,A,,,,6571
Fulmar,Northern Fulmar,Fulmarus glacialis,A,,,,6594
Black-capped Petrel,,Pterodroma hasitata,A,†,,,6640
White-chinned Petrel,,Procellaria aequinoctialis,A,†,,,6677
Scopoli's Shearwater,,Calonectris diomedea,A,†,,,6683
Cory's Shearwater,,Calonectris borealis,A,,,,6684
Sooty Shearwater,,Ardenna grisea,A,,,,6689
Great Shearwater,,Ardenna gravis,A,,,,6693
Manx Shearwater,,Puffinus puffinus,A,,,,6696
Yelkouan Shearwater,,Puffinus yelkouan,A,†,,,6699
Balearic Shearwater,,Puffinus mauretanicus,A,,,,6700
Barolo Shearwater,,Puffinus baroli,A,†,,,6729
Black Stork,,Ciconia nigra,AE,†,,,6762
White Stork,,Ciconia ciconia,AE,,,,6770
Ascension Frigatebird,,Fregata aquila,A,†,,,6789
Magnificent Frigatebird,,Fregata magnificens,A,†,,,6791
Gannet,Northern Gannet,Morus bassanus,A,,,,6805
Red-footed Booby,,Sula sula,A,†,,,6821
Brown Booby,,Sula leucogaster,A,†,,,6825
Cormorant,Great Cormorant,Phalacrocorax carbo,A,,,,6882
Shag,European Shag,Gulosus aristotelis,A,,,,6889
Double-crested Cormorant,,Nannopterum auritum,AE,†,,,6898
Glossy Ibis,,Plegadis falcinellus,AE,,,,6981
Spoonbill,Eurasian Spoonbill,Platalea leucorodia,AE,,,,6989
Bittern,Eurasian Bittern,Botaurus stellaris,A,,,,7025
American Bittern,,Botaurus lentiginosus,A,†,,,7029
Little Bittern,,Ixobrychus minutus,A,†,,,7042
Night-heron,Black-crowned Night Heron,Nycticorax nycticorax,AE*,,,,7062
Green Heron,,Butorides virescens,A,†,,,7087
Squacco Heron,,Ardeola ralloides,A,†,,,7116
Chinese Pond Heron,,Ardeola bacchus,A,†,,,7118
Cattle Egret,Western Cattle Egret,Bubulcus ibis,AE,,,,7125
Grey Heron,,Ardea cinerea,A,,,,7128
Great Blue Heron,,Ardea herodias,A,†,,,7133
Purple Heron,,Ardea purpurea,A,,,,7146
Great White Egret,Great Egret,Ardea alba,A,,,,7151
Snowy Egret,,Egretta thula,A,†,,,7178
Little Egret,,Egretta garzetta,A,,,,7181
Dalmatian Pelican,,Pelecanus crispus,A,†,,,7208
Osprey,Western Osprey,Pandion haliaetus,AE*,,,,7253
Egyptian Vulture,,Neophron percnopterus,BDE,†,,,7289
Honey-buzzard,European Honey Buzzard,Pernis apivorus,A,,,,7306
Short-toed Eagle,Short-toed Snake Eagle,Circaetus gallicus,A,†,,,7417
Spotted Eagle,Greater Spotted Eagle,Clanga clanga,B,†,,,7487
Golden Eagle,,Aquila chrysaetos,AE,,,,7505
Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,A,,,,7688
Goshawk,Northern Goshawk,Accipiter gentilis,AC3E*,,,,7724
Marsh Harrier,Western Marsh Harrier,Circus aeruginosus,A,,,,7737
Hen Harrier,,Circus cyaneus,A,,,,7749
Northern Harrier,,Circus hudsonius,A,†,,,7750
Pallid Harrier,,Circus macrourus,A,†,,,7752
Montagu's Harrier,,Circus pygargus,A,,,,7754
Red Kite,,Milvus milvus,AC3E*,,,,7756
Black Kite,,Milvus migrans,AE,,,,7759
White-tailed Eagle,,Haliaeetus albicilla,AC3E*,,,,7781
Rough-legged Buzzard,,Buteo lagopus,AE,,,,7932
Buzzard,Common Buzzard,Buteo buteo,AE*,,,,7949
Barn Owl,Western Barn Owl,Tyto alba,AE*,‡,,,7990
Tengmalm's Owl,Boreal Owl,Aegolius funereus,A,†,,,8144
Little Owl,,Athene noctua,C1E*,,,,8187
Hawk Owl,Northern Hawk-Owl,Surnia ulula,A,†,,,8212
Scops Owl,Eurasian Scops Owl,Otus scops,A,†,,,8325
Long-eared Owl,,Asio otus,A,,,,8422
Short-eared Owl,,Asio flammeus,A,,,,8438
Snowy Owl,,Bubo scandiacus,AE,†,,,8458
Tawny Owl,,Strix aluco,A,,,,8658
Hoopoe,Eurasian Hoopoe,Upupa epops,AE,,,,8920
Roller,European Roller,Coracias garrulus,A,†,,,9099
Kingfisher,Common Kingfisher,Alcedo atthis,A,,,,9439
Belted Kingfisher,,Megaceryle alcyon,A,†,,,9528
Blue-cheeked Bee-eater,,Merops persicus,A,†,,,9658
Bee-eater,European Bee-eater,Merops apiaster,A,,,,9673
Wryneck,Eurasian Wryneck,Jynx torquilla,A,,,,10279
Yellow-bellied Sapsucker,,Sphyrapicus varius,A,†,,,10455
Lesser Spotted Woodpecker,,Dryobates minor,A,,,,10643
Great Spotted Woodpecker,,Dendrocopos major,A,,,,10763
Green Woodpecker,European Green Woodpecker,Picus viridis,A,,,,11033
Lesser Kestrel,,Falco naumanni,A,†,,,11225
